,position
945,"['LM', 'CM', 'CAM', 'CDM']"
946,['CB']
947,['GK']
948,"['LM', 'CAM', 'CM']"
949,['ST']
950,"['LM', 'LW']"
951,['CB']
952,"['LB', 'LM']"
953,"['CAM', 'RM', 'CF']"
954,"['CAM', 'ST']"
955,"['CM', 'CAM']"
956,['ST']
957,['CB']
958,"['ST', 'CAM', 'LW']"
959,['GK']
960,"['CDM', 'CM']"
961,"['CDM', 'CM']"
962,"['CB', 'CDM', 'CM']"
963,"['CB', 'RB']"
964,"['CDM', 'CM']"
965,['GK']
966,['ST']
967,"['LM', 'RM', 'ST']"
968,['ST']
969,['ST']
970,"['CM', 'CDM']"
971,['CB']
972,"['RM', 'CAM']"
973,"['RW', 'CF']"
974,"['RM', 'RB', 'LB']"
975,"['CDM', 'CM']"
976,"['CAM', 'LM', 'RM']"
977,"['LM', 'ST', 'CAM']"
978,"['CM', 'CDM']"
979,"['RM', 'RW']"
980,['CB']
981,"['CB', 'RB', 'CDM']"
982,['CB']
983,['CB']
984,['CB']
985,"['CF', 'RM', 'LM']"
986,['ST']
987,"['CM', 'CAM']"
988,['CM']
989,"['LB', 'LM']"
990,"['LB', 'LM']"
991,"['CM', 'CDM', 'CAM']"
992,"['LW', 'ST']"
993,"['LB', 'LM']"
994,"['LW', 'ST', 'CAM', 'RW']"
995,"['CM', 'CDM']"
996,"['RM', 'RB']"
997,['ST']
998,['ST']
999,['CB']
1000,"['ST', 'CAM', 'CF']"
1001,"['CDM', 'CM']"
1002,"['RM', 'LM']"
1003,"['ST', 'LM', 'RM']"
1004,['CB']
1005,"['ST', 'RM']"
1006,"['CDM', 'CM']"
1007,"['CDM', 'CM']"
1008,"['LM', 'LW', 'ST']"
1009,"['CF', 'CAM']"
1010,['CB']
1011,"['RM', 'RW']"
1012,['ST']
1013,"['ST', 'LM']"
1014,"['LWB', 'LB', 'LM']"
1015,['ST']
1016,['ST']
1017,"['RB', 'LB']"
1018,"['RW', 'LW', 'LM', 'RM']"
1019,"['CM', 'CAM', 'LM']"
1020,"['CM', 'CAM', 'LM']"
1021,['CB']
1022,"['CAM', 'LM', 'CM']"
1023,"['CAM', 'LM', 'RM']"
1024,['GK']
1025,"['CM', 'CDM']"
1026,"['LW', 'CM']"
1027,['GK']
1028,"['CM', 'CDM']"
1029,"['CM', 'CDM']"
1030,"['RB', 'RWB', 'RM', 'LWB']"
1031,"['CAM', 'ST']"
1032,"['CAM', 'CM']"
1033,['ST']
1034,['GK']
1035,"['CM', 'CDM']"
1036,"['ST', 'LW']"
1037,"['ST', 'CF', 'CAM']"
1038,"['CF', 'ST', 'CAM']"
1039,"['RB', 'RM']"
1040,['CAM']
1041,"['CM', 'CDM', 'RM']"
1042,['RB']
1043,['ST']
1044,['ST']
1045,"['CDM', 'CM']"
1046,['ST']
1047,['CB']
1048,"['ST', 'CF', 'CAM', 'LM']"
1049,['LB']
1050,['GK']
1051,['RB']
1052,"['LM', 'LW']"
1053,"['CAM', 'ST', 'LW']"
1054,['GK']
1055,"['CDM', 'CB']"
1056,"['RM', 'CM']"
1057,['GK']
1058,"['RM', 'CAM', 'CF']"
1059,"['CDM', 'CM', 'CB']"
1060,['ST']
1061,"['CM', 'CDM']"
1062,['GK']
1063,['CB']
1064,['ST']
1065,"['LW', 'ST']"
1066,"['RW', 'LW']"
1067,['ST']
1068,"['CAM', 'CM', 'RM']"
1069,['CB']
1070,"['RM', 'RB', 'CM']"
1071,"['RM', 'RB', 'CM']"
1072,"['CDM', 'CM']"
1073,['CB']
1074,"['CAM', 'CM', 'LM', 'CDM']"
1075,['CB']
1076,"['LW', 'CF']"
1077,"['CDM', 'CM']"
1078,['CB']
1079,['ST']
1080,"['ST', 'LM']"
1081,"['CAM', 'LM', 'RM']"
1082,"['ST', 'CF']"
1083,"['CAM', 'CF']"
1084,['CB']
1085,['CB']
1086,['CB']
1087,['GK']
1088,"['CF', 'CAM', 'ST']"
1089,"['ST', 'LM', 'RM']"
1090,"['CM', 'RM']"
1091,"['LM', 'LB']"
1092,"['RB', 'CB']"
1093,['CM']
1094,"['LB', 'LM']"
1095,['RB']
1096,"['CM', 'CDM']"
1097,"['LM', 'RM']"
1098,"['CM', 'CDM']"
1099,['CB']
1100,"['ST', 'LW', 'RW']"
1101,"['ST', 'LW', 'RM']"
1102,"['RM', 'RB']"
1103,"['ST', 'CAM']"
1104,['LB']
1105,['ST']
1106,"['CM', 'RW', 'CAM', 'RM']"
1107,['GK']
1108,"['RM', 'LM', 'CM']"
1109,"['ST', 'CF']"
1110,['ST']
1111,"['RB', 'CM']"
1112,['CB']
1113,['CM']
1114,['CDM']
1115,['CB']
1116,"['CAM', 'CM', 'CDM']"
1117,"['LM', 'LB']"
1118,['GK']
1119,['CB']
1120,['CB']
1121,"['LM', 'CAM', 'LW']"
1122,"['LM', 'CAM', 'LW']"
1123,['RB']
1124,['CDM']
1125,"['CDM', 'CM', 'LM']"
1126,['ST']
1127,['ST']
1128,"['RM', 'LM', 'CAM']"
1129,"['RM', 'LM']"
1130,['ST']
1131,['CB']
1132,['ST']
